feature,coefficient,abs_coefficient
cat__category_name__Golf_Balls,-0.055987563,0.055987563
cat__order_region__Eastern_Europe,-0.05760855,0.05760855
cat__category_name__Children_s_Clothing,-0.058431145,0.058431145
cat__department_name__Outdoors,-0.05875611,0.05875611
num__order_item_discount_rate,-0.06258242,0.06258242
cat__customer_state__OR,-0.06271742,0.06271742
cat__order_country__Indonesia,-0.06456005,0.06456005
cat__order_region__Caribbean,-0.06508437,0.06508437
cat__category_name__Cameras,-0.065131634,0.065131634
cat__category_name__Toys,-0.06530675,0.06530675
cat__order_country__Nueva_Zelanda,-0.06543969,0.06543969
cat__order_country__Guatemala,-0.0675223,0.0675223
cat__order_country__Nicaragua,-0.069802456,0.069802456
cat__customer_country__Puerto_Rico,-0.069971114,0.069971114
cat__customer_state__PR,-0.069971114,0.069971114
cat__category_name__Hockey,-0.0703381,0.0703381
cat__market__Pacific_Asia,-0.07071452,0.07071452
cat__category_name__Camping_Hiking,-0.07401501,0.07401501
cat__category_name__Men_s_Footwear,-0.07448518,0.07448518
num__order_item_quantity,-0.08072388,0.08072388
cat__market__LATAM,-0.083075345,0.083075345
cat__order_country__Alemania,-0.083112955,0.083112955
cat__category_name__Golf_Shoes,-0.08371265,0.08371265
cat__market__Europe,-0.08574269,0.08574269
cat__department_name__Discs_Shop,-0.0857557,0.0857557
cat__customer_segment__Consumer,-0.08847448,0.08847448
cat__market__USCA,-0.0895112,0.0895112
cat__order_region__North_Africa,-0.09161107,0.09161107
cat__customer_state__CT,-0.09170999,0.09170999
cat__department_name__Apparel,-0.092850715,0.092850715
cat__department_name__Fan_Shop,-0.09432312,0.09432312
cat__customer_segment__Home_Office,-0.09632507,0.09632507
cat__customer_segment__Corporate,-0.10393086,0.10393086
cat__order_country__Argentina,-0.10768396,0.10768396
cat__department_name__Technology,-0.10854081,0.10854081
cat__order_region__Central_America,-0.11137543,0.11137543
cat__customer_country__United_States,-0.11546931,0.11546931
cat__customer_state____OTHER__,-0.12051829,0.12051829
cat__customer_state__NY,-0.12794544,0.12794544
cat__customer_state__AZ,-0.1286793,0.1286793
cat__order_region__Southern_Europe,-0.13132994,0.13132994
cat__customer_state__PA,-0.13158342,0.13158342
cat__order_country__Panamá,-0.13264374,0.13264374
cat__order_country__Brasil,-0.13330269,0.13330269
cat__customer_state__VA,-0.13762662,0.13762662
cat__order_country__Cuba,-0.13965647,0.13965647
cat__customer_state__WI,-0.14454237,0.14454237
cat__order_country__Reino_Unido,-0.14455873,0.14455873
cat__category_name__Golf_Apparel,-0.15326798,0.15326798
cat__order_country__Países_Bajos,-0.16104396,0.16104396
num__shipping_mode_order_share,-0.1709703,0.1709703
cat__customer_state__MO,-0.17121238,0.17121238
cat__order_country__Colombia,-0.17158079,0.17158079
num__shipping_mode_priority_rank,-0.17409907,0.17409907
num__days_for_shipment_scheduled,-0.1779834,0.1779834
num__mode_avg_scheduled_days,-0.1779834,0.1779834
num__standard_class_shipping_flag,-0.1817319,0.1817319
cat__shipping_mode__Standard_Class,-0.21770331,0.21770331
cat__category_name__Baseball_Softball,-0.24491556,0.24491556
cat__customer_state__CO,-0.28059784,0.28059784
cat__order_region__Canada,-0.2969121,0.2969121
cat__shipping_mode__Same_Day,-0.36172056,0.36172056
num__same_day_shipping_flag,-0.3924814,0.3924814
num__scheduled_zero_day_flag,-0.3924814,0.3924814
cat__type__TRANSFER,-1.6043274,1.6043274
cat__order_status__CANCELED,-3.0038023,3.0038023
cat__order_status__SUSPECTED_FRAUD,-3.0413775,3.0413775
