feature,coefficient
cat__category_name__Camping_Hiking,-0.07401500642299652
cat__category_name__Men_s_Footwear,-0.074485182762146
num__order_item_quantity,-0.08072388172149658
cat__market__LATAM,-0.08307534456253052
cat__order_country__Alemania,-0.08311295509338379
cat__category_name__Golf_Shoes,-0.08371265232563019
cat__market__Europe,-0.08574268966913223
cat__department_name__Discs_Shop,-0.08575569838285446
cat__customer_segment__Consumer,-0.08847448229789734
cat__market__USCA,-0.0895112007856369
cat__order_region__North_Africa,-0.09161107242107391
cat__customer_state__CT,-0.09170998632907867
cat__department_name__Apparel,-0.0928507149219513
cat__department_name__Fan_Shop,-0.09432312101125717
cat__customer_segment__Home_Office,-0.09632506966590881
cat__customer_segment__Corporate,-0.10393086075782776
cat__order_country__Argentina,-0.10768395662307739
cat__department_name__Technology,-0.10854081064462662
cat__order_region__Central_America,-0.11137542873620987
cat__customer_country__United_States,-0.1154693067073822
cat__customer_state____OTHER__,-0.1205182895064354
cat__customer_state__NY,-0.1279454380273819
cat__customer_state__AZ,-0.1286793053150177
cat__order_region__Southern_Europe,-0.13132993876934052
cat__customer_state__PA,-0.13158342242240906
cat__order_country__Panamá,-0.13264374434947968
cat__order_country__Brasil,-0.1333026885986328
cat__customer_state__VA,-0.13762661814689636
cat__order_country__Cuba,-0.13965646922588348
cat__customer_state__WI,-0.1445423662662506
cat__order_country__Reino_Unido,-0.14455872774124146
cat__category_name__Golf_Apparel,-0.1532679796218872
cat__order_country__Países_Bajos,-0.1610439568758011
num__shipping_mode_order_share,-0.17097030580043793
cat__customer_state__MO,-0.17121237516403198
cat__order_country__Colombia,-0.17158079147338867
num__shipping_mode_priority_rank,-0.17409907281398773
num__days_for_shipment_scheduled,-0.17798340320587158
num__mode_avg_scheduled_days,-0.17798340320587158
num__standard_class_shipping_flag,-0.18173189461231232
cat__shipping_mode__Standard_Class,-0.21770331263542175
cat__category_name__Baseball_Softball,-0.24491555988788605
cat__customer_state__CO,-0.28059783577919006
cat__order_region__Canada,-0.2969121038913727
cat__shipping_mode__Same_Day,-0.36172056198120117
num__same_day_shipping_flag,-0.39248138666152954
num__scheduled_zero_day_flag,-0.39248138666152954
cat__type__TRANSFER,-1.6043274402618408
cat__order_status__CANCELED,-3.0038022994995117
cat__order_status__SUSPECTED_FRAUD,-3.041377544403076
